"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CAN","Canada","2019","2019",277447,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CAN","Canada","2020","2020",143587,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CAN","Canada","2021","2021",174318,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CAN","Canada","2018","2018",744.1,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CAN","Canada","2019","2019",737.9,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CAN","Canada","2020","2020",377.5,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CAN","Canada","2021","2021",455.8,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CZE","Czech Republic","2018","2018",126584,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CZE","Czech Republic","2019","2019",127061,"B","Break"
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CZE","Czech Republic","2020","2020",118366,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CZE","Czech Republic","2021","2021",159839,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2018","2018",1190.8,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2019","2019",1190.6,"B","Break"
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2020","2020",1106.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2021","2021",1521.4,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","FIN","Finland","2018","2018",80468,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","FIN","Finland","2020","2020",51227,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","FIN","Finland","2021","2021",45936,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","FIN","Finland","2018","2018",1458.9,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","FIN","Finland","2020","2020",926.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","FIN","Finland","2021","2021",829,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","FRA","France","2018","2018",734934,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","FRA","France","2019","2019",726300,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","FRA","France","2020","2020",526827,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","FRA","France","2021","2021",530242,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","FRA","France","2018","2018",1094.3,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","FRA","France","2019","2019",1077.8,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","FRA","France","2020","2020",779.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","FRA","France","2021","2021",782.5,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","DEU","Germany","2018","2018",1360673,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","DEU","Germany","2019","2019",1330868,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","DEU","Germany","2020","2020",1072056,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","DEU","Germany","2021","2021",1068824,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","DEU","Germany","2018","2018",1641.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","DEU","Germany","2019","2019",1601.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","DEU","Germany","2020","2020",1289.1,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","DEU","Germany","2021","2021",1284.7,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","HUN","Hungary","2018","2018",141541,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","HUN","Hungary","2019","2019",139647,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","HUN","Hungary","2020","2020",79659,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","HUN","Hungary","2021","2021",58036,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","HUN","Hungary","2018","2018",1447.9,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","HUN","Hungary","2019","2019",1429.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","HUN","Hungary","2020","2020",817,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","HUN","Hungary","2021","2021",597.7,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ISL","Iceland","2019","2019",1744,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ISL","Iceland","2019","2019",483.7,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","IRL","Ireland","2018","2018",77269,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","IRL","Ireland","2019","2019",77889,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","IRL","Ireland","2020","2020",52717,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","IRL","Ireland","2021","2021",55379,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","IRL","Ireland","2018","2018",1587.5,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","IRL","Ireland","2019","2019",1578.5,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","IRL","Ireland","2020","2020",1057.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","IRL","Ireland","2021","2021",1100.3,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ITA","Italy","2018","2018",613694,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ITA","Italy","2019","2019",614155,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ITA","Italy","2020","2020",425723,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ITA","Italy","2021","2021",404116,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ITA","Italy","2018","2018",1015.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ITA","Italy","2019","2019",1028.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ITA","Italy","2020","2020",716.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ITA","Italy","2021","2021",683.4,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","JPN","Japan","2020","2020",946800,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","JPN","Japan","2020","2020",750.6,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","KOR","Korea","2018","2018",1094379,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","KOR","Korea","2019","2019",1032544,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","KOR","Korea","2020","2020",531401,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","KOR","Korea","2021","2021",428838,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","KOR","Korea","2018","2018",2121.5,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","KOR","Korea","2019","2019",1994.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","KOR","Korea","2020","2020",1025.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","KOR","Korea","2021","2021",828.8,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","MEX","Mexico","2018","2018",221504,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","MEX","Mexico","2019","2019",245188,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","MEX","Mexico","2020","2020",202020,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","MEX","Mexico","2021","2021",175291,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","MEX","Mexico","2018","2018",176.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","MEX","Mexico","2019","2019",193.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","MEX","Mexico","2020","2020",158.1,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","MEX","Mexico","2021","2021",135.9,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NLD","Netherlands","2018","2018",133154,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NLD","Netherlands","2019","2019",126684,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NLD","Netherlands","2020","2020",81164,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NLD","Netherlands","2021","2021",78667,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NLD","Netherlands","2018","2018",772.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NLD","Netherlands","2019","2019",730.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NLD","Netherlands","2020","2020",465.3,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NLD","Netherlands","2021","2021",448.7,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NZL","New Zealand","2018","2018",61102,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NZL","New Zealand","2019","2019",64591,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NZL","New Zealand","2020","2020",40093,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NZL","New Zealand","2018","2018",1246.8,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NZL","New Zealand","2019","2019",1297.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NZL","New Zealand","2020","2020",787.7,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NOR","Norway","2018","2018",67691,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NOR","Norway","2019","2019",67580,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NOR","Norway","2020","2020",49406,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","NOR","Norway","2021","2021",53178,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NOR","Norway","2018","2018",1274.3,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NOR","Norway","2019","2019",1263.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NOR","Norway","2020","2020",918.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","NOR","Norway","2021","2021",983.3,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","POL","Poland","2018","2018",473078,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","POL","Poland","2019","2019",435844,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","POL","Poland","2020","2020",277721,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","POL","Poland","2021","2021",323307,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","POL","Poland","2018","2018",1245.8,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","POL","Poland","2019","2019",1148,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","POL","Poland","2020","2020",732.8,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","POL","Poland","2021","2021",856.5,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","PRT","Portugal","2018","2018",100203,"B","Break"
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","PRT","Portugal","2019","2019",101526,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","PRT","Portugal","2020","2020",72496,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","PRT","Portugal","2021","2021",62463,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","PRT","Portugal","2018","2018",974.4,"B","Break"
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","PRT","Portugal","2019","2019",987,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","PRT","Portugal","2020","2020",704,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","PRT","Portugal","2021","2021",602.8,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVK","Slovak Republic","2018","2018",75583,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVK","Slovak Republic","2019","2019",74798,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVK","Slovak Republic","2020","2020",56349,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVK","Slovak Republic","2021","2021",82578,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVK","Slovak Republic","2018","2018",1387.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVK","Slovak Republic","2019","2019",1371.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVK","Slovak Republic","2020","2020",1032.3,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVK","Slovak Republic","2021","2021",1516,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ESP","Spain","2018","2018",635132,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ESP","Spain","2019","2019",600088,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ESP","Spain","2020","2020",528555,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ESP","Spain","2021","2021",357965,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ESP","Spain","2018","2018",1357.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ESP","Spain","2019","2019",1273.1,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ESP","Spain","2020","2020",1115.9,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ESP","Spain","2021","2021",754.9,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SWE","Sweden","2018","2018",101403,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SWE","Sweden","2019","2019",98921,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SWE","Sweden","2020","2020",69469,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SWE","Sweden","2021","2021",69454,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SWE","Sweden","2018","2018",996.6,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SWE","Sweden","2019","2019",962.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SWE","Sweden","2020","2020",671,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SWE","Sweden","2021","2021",666.8,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHE","Switzerland","2018","2018",90734,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHE","Switzerland","2019","2019",90289,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHE","Switzerland","2020","2020",90934,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHE","Switzerland","2021","2021",93950,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHE","Switzerland","2018","2018",1065.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHE","Switzerland","2019","2019",1052.9,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHE","Switzerland","2020","2020",1052.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHE","Switzerland","2021","2021",1079.3,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","TUR","Türkiye","2018","2018",1718745,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","TUR","Türkiye","2018","2018",2111.3,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","GBR","United Kingdom","2018","2018",977149,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","GBR","United Kingdom","2018","2018",1470.8,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHL","Chile","2018","2018",157339,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHL","Chile","2019","2019",156249,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHL","Chile","2020","2020",80447,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","CHL","Chile","2021","2021",87403,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHL","Chile","2018","2018",839.1,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHL","Chile","2019","2019",817.7,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHL","Chile","2020","2020",413.4,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","CHL","Chile","2021","2021",444.2,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","EST","Estonia","2018","2018",18101,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","EST","Estonia","2019","2019",17572,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","EST","Estonia","2020","2020",13266,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","EST","Estonia","2021","2021",20135,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","EST","Estonia","2018","2018",1369.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","EST","Estonia","2019","2019",1324.3,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","EST","Estonia","2020","2020",997.8,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","EST","Estonia","2021","2021",1512.8,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ISR","Israel","2018","2018",98619,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ISR","Israel","2019","2019",99039,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ISR","Israel","2020","2020",69943,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","ISR","Israel","2021","2021",79947,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ISR","Israel","2018","2018",1110.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ISR","Israel","2019","2019",1093.9,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ISR","Israel","2020","2020",759,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","ISR","Israel","2021","2021",853.1,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVN","Slovenia","2018","2018",29756,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVN","Slovenia","2019","2019",30116,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVN","Slovenia","2020","2020",24959,,
"DICDB000","Diseases of the respiratory system","NOMBRENB","Number","SVN","Slovenia","2021","2021",30959,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVN","Slovenia","2018","2018",1434.8,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVN","Slovenia","2019","2019",1442.1,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVN","Slovenia","2020","2020",1187.2,,
"DICDB000","Diseases of the respiratory system","RTOALLNB","Per 100 000 population","SVN","Slovenia","2021","2021",1468.6,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","AUS","Australia","2018","2018",48698,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","AUS","Australia","2019","2019",45043,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","AUS","Australia","2020","2020",21535,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","AUS","Australia","2018","2018",195.1,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","AUS","Australia","2019","2019",177.8,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","AUS","Australia","2020","2020",83.9,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","AUT","Austria","2018","2018",19161,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","AUT","Austria","2019","2019",16536,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","AUT","Austria","2020","2020",11588,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","AUT","Austria","2021","2021",5698,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","AUT","Austria","2018","2018",216.7,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","AUT","Austria","2019","2019",186.2,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","AUT","Austria","2020","2020",130,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","AUT","Austria","2021","2021",63.6,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","BEL","Belgium","2018","2018",24436,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","BEL","Belgium","2019","2019",24020,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","BEL","Belgium","2020","2020",15828,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","BEL","Belgium","2021","2021",12051,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","BEL","Belgium","2018","2018",213.8,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","BEL","Belgium","2019","2019",209.1,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","BEL","Belgium","2020","2020",137.2,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","BEL","Belgium","2021","2021",104,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CAN","Canada","2018","2018",25800,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CAN","Canada","2019","2019",26255,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CAN","Canada","2020","2020",4099,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CAN","Canada","2021","2021",6548,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CAN","Canada","2018","2018",69.6,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CAN","Canada","2019","2019",69.8,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CAN","Canada","2020","2020",10.8,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CAN","Canada","2021","2021",17.1,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CZE","Czech Republic","2018","2018",16910,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CZE","Czech Republic","2019","2019",16099,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CZE","Czech Republic","2020","2020",12154,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","CZE","Czech Republic","2021","2021",11575,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2018","2018",159.1,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2019","2019",150.9,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2020","2020",113.6,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","CZE","Czech Republic","2021","2021",110.2,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","FIN","Finland","2018","2018",13738,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","FIN","Finland","2020","2020",4358,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","FIN","Finland","2021","2021",2514,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","FIN","Finland","2018","2018",249.1,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","FIN","Finland","2020","2020",78.8,,
"DICDB001","Acute upper respiratory infections and influenza","RTOALLNB","Per 100 000 population","FIN","Finland","2021","2021",45.4,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","FRA","France","2018","2018",60201,,
"DICDB001","Acute upper respiratory infections and influenza","NOMBRENB","Number","FRA","France","2019","2019",66006,,
